Player,Team,Pos,G,PTS,AST,TRB,STL,BLK,MVP_Score_Basic,MVP_Score_Advanced,MVP_Score_Position,MVP_Score_Team_Impact,MVP_Score_Composite
Luka Dončić,DAL,PG,70.0,2370.0,686.0,647.0,99.0,38.0,1228.3000000000002,52.059434024331416,1063.8000000000002,1323.1616666666669,99.66022353082161
Nikola Jokić,DEN,C,79.0,2085.0,708.0,976.0,108.0,68.0,1188.3999999999999,52.623655375281835,956.0499999999998,1275.534375,96.28822407791309
Giannis Antetokounmpo,MIL,PF,73.0,2222.0,476.0,841.0,87.0,79.0,1168.8000000000002,51.03487081653513,1010.85,1251.6060000000002,95.53058594762734
Shai Gilgeous-Alexander,OKC,PG,75.0,2254.0,465.0,415.0,150.0,67.0,1099.3,50.96036731494052,925.4,1172.9264285714285,91.01043402661989
Jalen Brunson,NYK,PG,77.0,2212.0,519.0,278.0,70.0,13.0,1052.5,47.74507105288656,907.3,1127.298125,86.91267447657646
Domantas Sabonis,SAC,C,82.0,1593.0,673.0,1120.0,74.0,48.0,1008.0,48.506824784498335,873.25,1074.916,84.86570439349084
Anthony Davis,LAL,C,76.0,1876.0,266.0,961.0,91.0,178.0,1022.7000000000002,46.78114832092284,881.0,1088.6185714285716,84.53502954886552
Anthony Edwards,MIN,SG,79.0,2049.0,405.0,430.0,101.0,42.0,1000.9000000000001,43.743967790317676,968.0000000000001,1068.2,83.51008932959266
Kevin Durant,PHO,PF,75.0,2032.0,378.0,495.0,69.0,91.0,1003.4000000000001,46.67875618150499,835.35,1072.30125,82.89928371729683
Jayson Tatum,BOS,PF,74.0,1987.0,364.0,601.0,75.0,43.0,999.6,46.46678216935714,844.95,1062.5107142857144,82.71473616853086
LeBron James,LAL,PF,71.0,1822.0,589.0,518.0,89.0,38.0,962.9000000000001,48.96642373812818,804.95,1022.8385714285715,81.98110114851676
DeMar DeRozan,CHI,SF,79.0,1897.0,421.0,340.0,90.0,45.0,924.5000000000001,46.15708304714967,834.15,982.4828571428573,79.30283882892093
De'Aaron Fox,SAC,PG,74.0,1966.0,418.0,340.0,150.0,31.0,956.1000000000001,44.4880748843979,809.1,1017.8260000000001,79.12185586405822
Devin Booker,PHO,PG,68.0,1841.0,472.0,308.0,61.0,28.0,901.3000000000001,48.08100276704255,780.7999999999998,959.99125,78.55544620330102
Stephen Curry,GSW,PG,74.0,1956.0,379.0,330.0,54.0,28.0,932.4,45.928861957841725,779.5999999999999,993.155625,78.48854508232782
Dejounte Murray,ATL,SG,78.0,1753.0,502.0,416.0,111.0,24.0,898.3000000000001,43.45261037893157,867.8000000000001,952.1492857142857,77.21844153366808
Tyrese Maxey,PHI,PG,70.0,1816.0,433.0,258.0,69.0,33.0,874.8000000000001,47.548746484803935,753.9999999999999,936.382105263158,76.73201095289178
Damian Lillard,MIL,PG,73.0,1775.0,508.0,320.0,72.0,18.0,884.6,46.00825552931378,776.7,938.986,76.51051640120359
Paolo Banchero,ORL,PF,80.0,1804.0,431.0,554.0,71.0,47.0,930.4000000000002,41.53206824863159,786.1999999999999,991.5120000000002,75.89190188945588
Pascal Siakam,2TM,PF,80.0,1737.0,342.0,565.0,63.0,25.0,885.0,45.0544390319596,751.9499999999999,947.947,75.6120064922105
Tyrese Haliburton,IND,PG,69.0,1389.0,752.0,271.0,83.0,48.0,773.3,50.39707218297322,757.6999999999999,813.3285714285714,74.21259644429335
Kawhi Leonard,LAC,SF,68.0,1613.0,244.0,416.0,111.0,59.0,794.2,46.05158030226626,719.0999999999999,838.2185714285715,71.74794536588479
Victor Wembanyama,SAS,C,71.0,1522.0,274.0,755.0,88.0,254.0,848.8,41.413569120509486,740.05,898.7407142857143,71.58133400671282
Paul George,LAC,PF,74.0,1671.0,262.0,388.0,113.0,37.0,813.4000000000001,44.068396990784166,673.8499999999998,859.3385714285715,70.48318441688059
Zion Williamson,NOP,PF,70.0,1601.0,352.0,406.0,77.0,47.0,804.4000000000002,44.74990010752757,669.6499999999999,849.0878571428574,70.44252876020717
Kyrie Irving,DAL,SG,58.0,1487.0,299.0,290.0,74.0,28.0,722.8,47.413343512959315,701.1999999999999,767.1116666666667,69.43131217008896
Jaylen Brown,BOS,SF,70.0,1610.0,249.0,387.0,83.0,37.0,783.1999999999999,42.19702357738208,706.85,824.4707142857142,68.72326133905489
Donovan Mitchell,CLE,SG,55.0,1463.0,333.0,280.0,101.0,30.0,720.9000000000001,46.13867895545315,703.0000000000001,755.3815384615385,68.47761939398123
Jalen Green,HOU,SG,82.0,1610.0,291.0,423.0,66.0,28.0,796.2,39.006844336676174,760.5,840.4892857142858,68.36836304335517
Mikal Bridges,BRK,SF,82.0,1606.0,299.0,372.0,81.0,30.0,787.7,40.4421506598376,711.4499999999998,832.9064285714286,67.98808041055142
Trae Young,ATL,PG,54.0,1389.0,583.0,149.0,72.0,11.0,710.3000000000001,46.60053676684401,673.1,745.3492857142858,67.78440512182218
Jarrett Allen,CLE,C,77.0,1271.0,210.0,811.0,53.0,81.0,726.0000000000001,45.37939995834138,645.4999999999999,760.9915384615385,67.1445055491066
Fred VanVleet,HOU,PG,73.0,1270.0,589.0,278.0,101.0,59.0,697.4,46.74221144799592,660.4,731.8092857142857,67.1143579263306
Coby White,CHI,PG,79.0,1509.0,405.0,358.0,53.0,18.0,763.3,42.31971113889662,657.5999999999999,805.1628571428571,67.09629223179043
Kyle Kuzma,WAS,PF,70.0,1553.0,296.0,464.0,37.0,49.0,781.8000000000001,40.70660415451144,660.5500000000001,832.1341176470589,67.03221326215008
Bam Adebayo,MIA,C,71.0,1367.0,278.0,737.0,81.0,66.0,764.5000000000001,42.19602720517547,648.05,809.7200000000001,66.93860151759623
Joel Embiid,PHI,C,39.0,1353.0,219.0,430.0,46.0,66.0,682.2,51.157091557862046,529.4499999999999,724.522105263158,66.82523705951093
Nikola Vučević,CHI,C,76.0,1370.0,254.0,801.0,50.0,60.0,770.0,40.61187000567876,665.75,812.5328571428572,66.49442287721602
James Harden,LAC,PG,72.0,1192.0,614.0,369.0,77.0,57.0,686.8000000000001,46.35525011024886,653.5000000000001,720.0785714285715,66.31833022457441
Collin Sexton,UTA,SG,78.0,1458.0,383.0,205.0,62.0,18.0,708.8000000000001,43.36729824540822,694.5,748.684375,66.25326899790423
Chet Holmgren,OKC,C,82.0,1357.0,200.0,648.0,53.0,190.0,736.7,42.89648484435581,636.1999999999999,774.0664285714286,65.92929658482687
Miles Bridges,CHO,SF,69.0,1449.0,231.0,505.0,65.0,33.0,736.6,40.92113679672694,667.4,786.3383333333334,65.50681751688047
D'Angelo Russell,LAL,PG,76.0,1369.0,482.0,236.0,69.0,36.0,701.7,44.18027053804112,637.6,735.5185714285715,65.30195538306259
Cade Cunningham,DET,PG,62.0,1405.0,464.0,268.0,56.0,22.0,716.2,42.42983153116268,641.7,762.1600000000001,65.07406617608737
Alperen Şengün,HOU,C,63.0,1331.0,312.0,589.0,76.0,46.0,724.8,43.79295290750996,585.3999999999999,761.9492857142857,65.0412558694513
Austin Reaves,LAL,SG,82.0,1300.0,450.0,352.0,66.0,25.0,689.5,43.70273716185966,660.9000000000001,722.0985714285714,64.9564037151932
Franz Wagner,ORL,SF,72.0,1421.0,269.0,381.0,76.0,28.0,708.8,41.676535561847984,641.55,747.752,64.22336665776925
Rudy Gobert,MIN,C,76.0,1061.0,102.0,982.0,52.0,162.0,662.6000000000001,43.565787750945596,662.25,696.0700000000002,63.85597852618688
Karl-Anthony Towns,MIN,PF,62.0,1349.0,189.0,515.0,43.0,41.0,688.8,43.53968329938248,597.9999999999999,724.89,63.69691744559517
Brandon Ingram,NOP,SF,64.0,1332.0,363.0,324.0,50.0,40.0,679.2,43.186540779212066,615.0999999999999,711.3678571428572,63.37155189994167
Jalen Williams,OKC,PF,71.0,1355.0,322.0,282.0,80.0,45.0,675.3,45.048491503381804,554.15,706.5264285714285,63.17706002260944
Scottie Barnes,TOR,SG,60.0,1191.0,363.0,494.0,75.0,88.0,664.0999999999999,43.04322634386124,622.1999999999999,707.4161904761904,62.99102297660101
Cam Thomas,BRK,SG,66.0,1482.0,192.0,214.0,45.0,16.0,680.1,40.111395752643716,663.2,714.5464285714286,62.49525109874343
Michael Porter Jr.,DEN,SF,81.0,1356.0,122.0,565.0,42.0,53.0,689.3,40.44098979922084,623.5999999999999,726.524375,62.34975635847247
CJ McCollum,NOP,PG,66.0,1322.0,305.0,286.0,62.0,41.0,657.3000000000002,44.29458197381076,557.5,687.2778571428573,62.06091198489465
Devin Vassell,SAS,SG,68.0,1323.0,277.0,261.0,73.0,23.0,646.4,42.71993118544577,627.6,676.1007142857143,62.001685355674255
Jamal Murray,DEN,PG,59.0,1250.0,384.0,242.0,57.0,39.0,634.8,45.409482398393706,562.4000000000001,666.5743749999999,61.9677201554735
Jimmy Butler,MIA,PF,60.0,1246.0,298.0,318.0,79.0,17.0,631.2,46.824199034980964,524.3499999999999,663.09,61.96290428889441
Jaren Jackson Jr.,MEM,C,66.0,1486.0,154.0,365.0,80.0,106.0,716.8,39.3755227466711,545.15,764.2905882352941,61.46131016998716
Lauri Markkanen,UTA,PF,55.0,1278.0,110.0,449.0,50.0,26.0,630.6,44.79903948734719,543.4999999999999,662.6643750000001,61.08327582435777
Bogdan Bogdanović,ATL,SG,79.0,1333.0,247.0,272.0,96.0,26.0,649.2,40.3324802181837,631.6000000000001,678.1392857142857,60.73802416084955
Myles Turner,IND,C,77.0,1313.0,100.0,533.0,39.0,144.0,670.1,41.0403425812704,562.75,699.8085714285714,60.69877627860939
Jordan Poole,WAS,SG,78.0,1356.0,343.0,212.0,86.0,25.0,664.5,37.93513572376216,651.9000000000001,703.1041176470588,60.420662035217426
Terry Rozier,2TM,SG,61.0,1205.0,342.0,247.0,63.0,21.0,608.1999999999999,43.417544635835895,589.8000000000001,643.467,60.29171795596036
Derrick White,BOS,SG,73.0,1107.0,377.0,310.0,74.0,87.0,596.3000000000001,44.8914635493898,572.7,618.8807142857144,60.20211535597658
Donte DiVincenzo,NYK,SG,81.0,1259.0,216.0,297.0,107.0,36.0,620.5000000000001,40.664036685399466,601.5000000000001,652.0981250000001,59.28276729436187
Tobias Harris,PHI,PF,70.0,1204.0,217.0,453.0,70.0,46.0,627.2,41.683568868294955,543.55,664.022105263158,59.144933540045464
Klay Thompson,GSW,SF,77.0,1375.0,176.0,254.0,50.0,35.0,644.5,39.38176268134646,578.2499999999999,676.465625,59.02024057295572
Immanuel Quickley,2TM,SG,68.0,1156.0,331.0,259.0,50.0,10.0,586.4,43.35518131089529,565.5,619.487,58.90792155325175
Deni Avdija,WAS,SF,75.0,1102.0,286.0,540.0,60.0,36.0,615.6,41.06123562382824,563.5,649.3141176470589,58.64468114143328
Dennis Schröder,2TM,PG,80.0,1122.0,488.0,242.0,63.0,17.0,602.8,40.95701426571312,564.0,637.5269999999999,58.10370433837202
Kristaps Porziņģis,BOS,C,57.0,1145.0,115.0,409.0,42.0,111.0,578.1,44.14317112281654,470.75,598.8607142857143,57.088498544560146
Brandon Miller,CHO,SF,74.0,1279.0,175.0,315.0,66.0,42.0,620.4000000000001,37.854998950987195,559.75,658.5183333333334,56.89682374639003
Jonas Valančiūnas,NOP,C,82.0,1002.0,173.0,721.0,32.0,68.0,589.6,40.73054205900438,538.75,612.8078571428572,56.80273567289902
Julius Randle,NYK,PF,46.0,1102.0,229.0,423.0,25.0,12.0,574.9000000000001,42.846306941587414,496.15,601.9381250000001,56.75342125635036
RJ Barrett,2TM,SG,58.0,1170.0,193.0,315.0,31.0,22.0,574.9000000000001,41.12590335122934,546.5000000000001,606.8370000000001,56.73877362302031
Keegan Murray,SAC,SF,77.0,1172.0,129.0,420.0,79.0,59.0,592.4,39.44422361701394,537.75,617.756,56.15098461193386
Malik Monk,SAC,SG,72.0,1110.0,370.0,212.0,45.0,39.0,568.8,40.51093935137537,552.1,591.7959999999999,56.102201721891966
Bobby Portis,MIL,PF,82.0,1130.0,104.0,607.0,68.0,34.0,604.4,38.05304259811824,548.6,630.766,56.00384001373462
Grayson Allen,PHO,SG,75.0,1014.0,227.0,295.0,69.0,45.0,521.4,45.106786602024954,498.8,542.1012499999999,55.97011205103014
Aaron Gordon,DEN,PF,73.0,1013.0,259.0,471.0,56.0,45.0,561.3000000000001,42.41200078246944,496.4,585.724375,55.923897906491234
Jaden Ivey,DET,SG,77.0,1185.0,296.0,264.0,57.0,41.0,595.8000000000001,37.037832642124656,575.1,629.72,55.665947214226854
Tyus Jones,WAS,PG,66.0,790.0,485.0,179.0,71.0,18.0,457.70000000000005,50.07256424272594,457.8,475.6241176470589,55.64541953807792
Jonathan Kuminga,GSW,PF,74.0,1188.0,163.0,355.0,55.0,36.0,587.9000000000001,39.794941281001485,498.24999999999994,614.205625,55.45509208114724
Josh Giddey,OKC,SG,80.0,986.0,386.0,514.0,51.0,44.0,583.9000000000001,38.83329429810157,537.6,605.9864285714286,55.398121376160375
Jusuf Nurkić,PHO,C,76.0,829.0,301.0,837.0,81.0,80.0,575.3000000000001,38.58011402657404,554.3499999999999,601.3912500000001,55.28287472994013
Mike Conley,MIN,PG,76.0,869.0,449.0,218.0,88.0,17.0,491.50000000000006,46.24578119448126,472.6,507.86000000000007,54.923938283412724
Jabari Smith Jr.,HOU,PF,76.0,1044.0,121.0,616.0,52.0,61.0,576.3000000000001,38.20785387023991,530.5,598.5992857142858,54.592385890701145
John Collins,UTA,PF,68.0,1027.0,77.0,575.0,40.0,61.0,551.3000000000001,39.99531937986701,505.29999999999995,575.434375,54.23933592441932
Jalen Duren,DET,C,61.0,841.0,147.0,709.0,33.0,47.0,515.6,42.81092091848671,486.49999999999994,541.5,54.204866058164605
Nic Claxton,BRK,C,71.0,841.0,147.0,706.0,46.0,146.0,526.2,41.51344152343472,510.84999999999997,545.2564285714286,54.19743912167778
Daniel Gafford,2TM,PF,74.0,814.0,115.0,562.0,65.0,153.0,482.8,45.653702670354384,459.49999999999994,505.527,54.073048067865095
Keldon Johnson,SAS,SF,69.0,1084.0,195.0,377.0,51.0,20.0,555.1,39.51364323949505,503.44999999999993,575.6707142857143,54.010906189105825
Desmond Bane,MEM,SG,42.0,997.0,230.0,185.0,43.0,22.0,488.3,44.21684243276753,474.1,512.9405882352942,53.727198801677595
Anfernee Simons,POR,SG,46.0,1039.0,255.0,167.0,23.0,5.0,502.8,42.47206247795242,488.40000000000003,526.2635294117647,53.49795451099023
Bradley Beal,PHO,SG,53.0,964.0,265.0,232.0,52.0,27.0,492.9,43.009891566691586,474.9,510.75124999999997,53.095650679824665
Darius Garland,CLE,PG,57.0,1028.0,373.0,152.0,74.0,7.0,524.3000000000001,40.8340161775881,480.9,539.1215384615385,53.08658374238865
Naz Reid,MIN,PF,81.0,1090.0,106.0,423.0,63.0,73.0,555.3999999999999,37.88725142944314,487.04999999999995,578.1499999999999,52.76641683471767
Jalen Johnson,ATL,SF,56.0,896.0,203.0,488.0,67.0,47.0,508.00000000000006,41.64995391293158,466.55,522.8192857142858,52.66740856503108
Clint Capela,ATL,C,73.0,836.0,91.0,776.0,43.0,106.0,522.7,38.56978023632122,518.3499999999999,538.9892857142858,52.387738600327076
Tre Jones,SAS,PG,77.0,771.0,478.0,289.0,78.0,9.0,470.50000000000006,43.65758126944163,460.09999999999997,482.6107142857143,52.24226842951299
Caris LeVert,CLE,SG,68.0,952.0,346.0,280.0,76.0,34.0,517.0,39.220518031788124,496.59999999999997,531.0915384615384,52.11337199817709
Jerami Grant,POR,PF,54.0,1132.0,152.0,191.0,45.0,34.0,529.3,40.15734893139884,429.3,555.4135294117647,52.06996722876558
Deandre Ayton,POR,C,55.0,920.0,90.0,609.0,56.0,42.0,517.6,39.80208171332597,465.45,542.5435294117648,52.060596559416446
Brook Lopez,MIL,C,79.0,990.0,127.0,409.0,43.0,189.0,526.4,39.69898820954097,452.74999999999994,544.966,52.01038023780325
Jrue Holiday,BOS,PG,69.0,860.0,333.0,373.0,61.0,53.0,496.6000000000001,41.976152952163545,439.9000000000001,509.21071428571435,51.88127225201155
Buddy Hield,2TM,SF,84.0,1013.0,236.0,269.0,70.0,42.0,517.4000000000001,39.146622842848124,470.24999999999994,543.5870000000001,51.76687925849188
Tim Hardaway Jr.,DAL,SF,79.0,1139.0,139.0,254.0,42.0,6.0,539.0000000000001,37.27105483579315,484.15000000000003,564.9316666666668,51.74376548681705
Corey Kispert,WAS,SF,80.0,1070.0,156.0,225.0,41.0,16.0,509.90000000000003,39.9476657980369,458.45,533.0441176470589,51.68736907954425
Ivica Zubac,LAC,C,68.0,794.0,93.0,626.0,22.0,83.0,471.90000000000003,42.27740469642354,448.75,483.68857142857144,51.247420591858884
Josh Hart,NYK,SF,81.0,761.0,331.0,675.0,75.0,23.0,515.4,37.73648809182542,481.09999999999997,536.488125,50.96822222231189
Pascal Siakam,IND,PF,41.0,872.0,152.0,319.0,31.0,15.0,447.6,45.29707413759358,385.45,455.05857142857144,50.85465108694255
Kelly Olynyk,2TM,C,78.0,762.0,347.0,411.0,74.0,30.0,466.8,43.31597445704935,380.24999999999994,487.927,50.51972571916391
Norman Powell,LAC,SG,76.0,1056.0,82.0,195.0,43.0,22.0,484.3,39.4708250645919,469.1,497.3285714285714,50.44606845703629
Ayo Dosunmu,CHI,SG,76.0,924.0,242.0,216.0,68.0,36.0,471.6,40.5986111963531,456.80000000000007,484.29285714285714,50.389754577936955
Evan Mobley,CLE,PF,50.0,785.0,160.0,468.0,45.0,72.0,451.3,43.2053478108525,415.2,458.82153846153847,50.301910514368345
Jalen Suggs,ORL,SG,75.0,943.0,205.0,229.0,106.0,47.0,479.30000000000007,39.103779648446476,467.0,495.3020000000001,50.033099584815304
Pascal Siakam,TOR,PF,39.0,865.0,190.0,246.0,32.0,10.0,437.4,44.86188363075427,366.5,458.0461904761905,50.029972288842906
Kelly Oubre Jr.,PHI,SF,68.0,1049.0,101.0,341.0,77.0,47.0,520.4000000000001,36.009356651885234,471.79999999999995,546.542105263158,50.023953961641716
Trey Murphy III,NOP,SF,57.0,842.0,124.0,280.0,51.0,28.0,425.50000000000006,44.54165618865038,385.95,432.2978571428572,49.5315817971159
Khris Middleton,MIL,SF,55.0,828.0,292.0,257.0,51.0,15.0,447.6,41.96333723117928,408.7499999999999,458.286,49.33392420085521
Max Strus,CLE,SF,70.0,853.0,283.0,338.0,64.0,29.0,474.70000000000005,39.053504296565194,435.25,484.56153846153853,49.132989885572094
Keyonte George,UTA,PG,75.0,974.0,332.0,211.0,36.0,7.0,502.5,36.45204019940238,450.40000000000003,521.754375,49.082462265825214
Payton Pritchard,BOS,PG,82.0,787.0,281.0,265.0,39.0,6.0,428.5,43.808464565060184,379.5,434.30071428571426,49.07154257993264
Herbert Jones,NOP,SF,76.0,837.0,199.0,272.0,105.0,62.0,445.7,41.50290641804891,409.09999999999997,454.5178571428571,48.96100723820635
Jordan Clarkson,UTA,SG,55.0,942.0,277.0,188.0,35.0,6.0,473.9000000000001,37.818737154794135,458.6000000000001,490.2943750000001,48.894691421955045
Tyler Herro,MIA,SG,42.0,875.0,188.0,222.0,30.0,3.0,435.3,41.453909690024204,416.1,447.6,48.70655456783882
P.J. Washington,2TM,PF,73.0,939.0,141.0,411.0,72.0,59.0,499.09999999999997,36.03233252919529,442.2,523.457,48.61713685650123
Harrison Barnes,SAC,PF,82.0,1000.0,99.0,249.0,54.0,12.0,476.2,39.16724190320954,396.75,489.936,48.5920986525806
Obi Toppin,IND,PF,82.0,843.0,128.0,320.0,47.0,43.0,435.80000000000007,42.36405179501233,379.24999999999994,442.0785714285715,48.490717784329604
Gary Trent Jr.,TOR,SG,71.0,974.0,119.0,188.0,77.0,10.0,459.70000000000005,38.21380228577318,448.6,482.5761904761905,48.48241667405652
Isaiah Hartenstein,NYK,C,75.0,582.0,188.0,626.0,87.0,85.0,412.8,42.76050030716304,409.0,423.628125,48.45429642285118
Jeremy Sochan,SAS,PF,74.0,861.0,249.0,476.0,62.0,40.0,499.6,35.51429142760431,450.65000000000003,514.6207142857143,48.34596145513457
Rui Hachimura,LAL,PF,68.0,923.0,81.0,294.0,41.0,25.0,450.80000000000007,40.85336909176636,385.09999999999997,459.52857142857147,48.31647677739938
Cole Anthony,ORL,PG,81.0,937.0,236.0,311.0,64.0,37.0,494.29999999999995,36.65890995105584,416.7,511.80199999999996,48.22399951677461
Spencer Dinwiddie,2TM,PG,76.0,795.0,356.0,205.0,51.0,22.0,437.5,40.343704078750534,408.7,455.697,48.072131537242
T.J. McConnell,IND,PG,71.0,727.0,390.0,191.0,72.0,8.0,415.0,42.06499307304231,401.20000000000005,419.1985714285714,47.8767834261328
Aaron Nesmith,IND,SF,72.0,877.0,108.0,275.0,65.0,49.0,438.8,40.41755181089191,398.2,445.37857142857143,47.7979090002471
Jaime Jaquez Jr.,MIA,SF,75.0,889.0,195.0,285.0,77.0,20.0,461.3,37.915983797751245,420.7,476.2,47.72209823536787
Malik Beasley,MIL,SG,79.0,889.0,108.0,290.0,59.0,9.0,442.0,39.16758559526942,418.90000000000003,452.126,47.61342453873126
Moritz Wagner,ORL,C,80.0,868.0,96.0,347.0,39.0,21.0,441.80000000000007,40.8124471987748,355.24999999999994,454.0520000000001,47.42797468243132
Duncan Robinson,MIA,SF,68.0,875.0,192.0,173.0,46.0,16.0,429.20000000000005,40.4210897499218,387.75,440.89000000000004,47.30173297713881
Andrew Wiggins,GSW,SF,71.0,939.0,119.0,321.0,42.0,41.0,471.90000000000003,35.97013954739394,427.05,486.60562500000003,47.08333514440997
Nick Richards,CHO,C,67.0,652.0,54.0,539.0,26.0,74.0,389.40000000000003,42.668213166515706,376.84999999999997,404.41833333333335,46.935930499355266
Alex Caruso,CHI,SG,71.0,715.0,247.0,273.0,120.0,70.0,409.0,40.87486320493001,393.7,415.43285714285713,46.816178005419246
Immanuel Quickley,TOR,PG,38.0,706.0,257.0,182.0,34.0,7.0,374.3,44.718780172383546,336.9,388.6361904761905,46.81484567661372
Saddiq Bey,ATL,SF,63.0,863.0,92.0,411.0,51.0,11.0,452.00000000000006,37.34609171082362,411.3999999999999,461.2192857142858,46.754423771980264
Terry Rozier,CHO,SG,30.0,696.0,198.0,117.0,32.0,12.0,345.8,45.42091389329107,337.3,356.45833333333337,46.071698183423
Luguentz Dort,OKC,SF,79.0,860.0,113.0,284.0,72.0,47.0,435.3,37.69766903819345,395.90000000000003,442.5264285714286,45.98878467624497
Dennis Schröder,TOR,PG,51.0,698.0,313.0,140.0,46.0,8.0,375.20000000000005,42.371462244434085,354.00000000000006,389.6261904761905,45.76022927098594
De'Andre Hunter,ATL,SF,57.0,891.0,87.0,222.0,40.0,16.0,423.80000000000007,38.53137966104733,381.25,430.1992857142858,45.7509394942479
Scoot Henderson,POR,PG,62.0,868.0,336.0,194.0,48.0,13.0,459.30000000000007,34.60507013991832,420.29999999999995,478.4135294117648,45.70450291123025
Brandin Podziemski,GSW,SG,74.0,682.0,273.0,427.0,61.0,14.0,420.30000000000007,38.52630658465213,383.7,429.84562500000004,45.703162160992335
Dillon Brooks,HOU,SF,72.0,915.0,119.0,246.0,64.0,10.0,446.4,35.79291721113847,403.85,455.70928571428567,45.45823903016352
Kentavious Caldwell-Pope,DEN,SG,76.0,766.0,183.0,183.0,98.0,42.0,393.6000000000001,39.68719878522163,385.1000000000001,401.2543750000001,45.35223470270378
Reggie Jackson,DEN,PG,82.0,833.0,308.0,155.0,44.0,13.0,431.50000000000006,36.75899842402435,394.29999999999995,442.94437500000004,45.30653265293573
RJ Barrett,TOR,SG,32.0,696.0,130.0,204.0,19.0,13.0,348.40000000000003,44.0234440210087,329.90000000000003,360.1461904761905,45.20885662705734
Russell Westbrook,LAC,PG,68.0,754.0,306.0,343.0,74.0,23.0,441.1,36.08025148644978,392.6,449.80857142857144,45.20224758802919
Al Horford,BOS,C,65.0,562.0,168.0,413.0,38.0,62.0,351.00000000000006,44.46216403679615,319.25,349.0507142857143,45.17185970653093
Grant Williams,2TM,PF,76.0,784.0,174.0,318.0,44.0,39.0,420.3,37.695524026086815,366.95,436.77700000000004,44.98970533227563
Chris Paul,GSW,PG,58.0,533.0,393.0,225.0,70.0,6.0,344.40000000000003,43.225572494590104,347.20000000000005,346.35562500000003,44.752536928197685
Zach Collins,SAS,C,69.0,776.0,194.0,370.0,34.0,52.0,431.8,36.98073964397109,357.59999999999997,440.0407142857143,44.71279006765512
Cameron Johnson,BRK,PF,58.0,776.0,138.0,251.0,49.0,15.0,394.6,40.09927059679948,335.94999999999993,400.49642857142857,44.68734101284984
Andre Drummond,CHI,C,79.0,663.0,37.0,708.0,73.0,48.0,426.29999999999995,34.68247791868112,432.9,434.4628571428571,44.530794429393914
Bennedict Mathurin,IND,SF,59.0,856.0,119.0,234.0,35.0,14.0,417.90000000000003,36.987261352287334,376.84999999999997,422.3885714285715,44.4782018071632
Bruce Brown,2TM,SG,67.0,726.0,192.0,284.0,59.0,17.0,393.20000000000005,38.04618168190653,370.70000000000005,406.96700000000004,44.16732344693442
Jakob Poeltl,TOR,C,50.0,555.0,127.0,429.0,35.0,76.0,344.30000000000007,42.35532490777,322.34999999999997,355.63619047619056,43.894956804313296
Sam Hauser,BOS,SF,79.0,712.0,82.0,276.0,40.0,25.0,362.9,40.59340689700536,329.29999999999995,362.14071428571424,43.51636680886163
Spencer Dinwiddie,BRK,PG,48.0,604.0,288.0,158.0,38.0,9.0,335.50000000000006,42.32241676702293,316.9,335.48642857142863,43.25899649281808
Bojan Bogdanović,2TM,PF,57.0,868.0,97.0,152.0,30.0,5.0,400.5,37.318613163224995,324.3,414.997,43.152144730245126
OG Anunoby,2TM,SF,50.0,733.0,107.0,208.0,68.0,36.0,366.6,39.05640787631974,333.35,377.707,42.98791484812385
Royce O'Neale,2TM,SF,79.0,608.0,219.0,377.0,59.0,44.0,372.69999999999993,37.807465323288106,345.25,384.4169999999999,42.708623089122284
Draymond Green,GSW,PF,55.0,475.0,332.0,398.0,55.0,47.0,346.2,40.39977559564283,324.25,348.335625,42.69164424419759
Malcolm Brogdon,POR,PG,39.0,613.0,214.0,148.0,27.0,8.0,321.1,42.75259311114201,287.8,326.39352941176475,42.482666994458114
